产品�?采购范围1,产品价格1,采购范围2,产品价格2,爬取时间,
Kuraray Genestar GN2450,25 - 999 kilograms,$8.00 ,>= 1000 kilograms,$7.00 ,09:00.4
Kuraray Genestar GN2450,25 - 999 kilograms,$8.00 ,>= 1000 kilograms,$7.00 ,12:09.5
Kuraray Genestar GN2450,25 - 999 kilograms,$8.00 ,>= 1000 kilograms,$7.00 ,2022/8/19 0:12
Kuraray Genestar GP2300F,25 - 999 kilograms,$8.00 ,>= 1000 kilograms,$7.00 ,2022/8/19 0:13
Kuraray Genestar GP2300T,25 - 499 kilograms,$20.00 ,>= 500 kilograms,$7.80 ,2022/8/25 11:13
Celanese Vectra A130,25 - 999 kilograms,$17.80 ,>= 1000 kilograms,$12.00 ,2022/8/25 11:13
Celanese Vectra E130i,25 - 999 kilograms,$18.00 ,>= 1000 kilograms,$10.00 ,2022/8/25 11:13
Kuraray Genestar GN2450,25 - 999 kilograms,$8.00,>= 1000 kilograms,$7.00,2022-09-02 15:26:38.009753
Kuraray Genestar GP2300F,25 - 999 kilograms,$8.00,>= 1000 kilograms,$7.00,2022-09-02 15:26:42.689453
Kuraray Genestar GP2300T,25 - 499 kilograms,$20.00,>= 500 kilograms,$7.80,2022-09-02 15:26:47.825808
Celanese Vectra A130,25 - 999 kilograms,$17.80,>= 1000 kilograms,$12.00,2022-09-02 15:26:52.917455
Kuraray Genestar GN2450,25 - 999 kilograms,$8.00,>= 1000 kilograms,$7.00,2022-09-02 15:56:39.516402
Kuraray Genestar GP2300F,25 - 999 kilograms,$8.00,>= 1000 kilograms,$7.00,2022-09-02 15:56:44.902938
Kuraray Genestar GP2300T,25 - 499 kilograms,$20.00,>= 500 kilograms,$7.80,2022-09-02 15:56:50.297971
Celanese Vectra A130,25 - 999 kilograms,$17.80,>= 1000 kilograms,$12.00,2022-09-02 15:56:54.915363
